Objeto;Ângulo (°);Distancia (m);Altura (m);Tempo (s);Velocidade Média (m/s)
aro;7.73;1.0;0.134505045;1.39;0.7194244604316548
aro;7.73;1.0;0.134505045;1.53;0.6535947712418301
aro;7.73;1.0;0.134505045;1.35;0.7407407407407407
aro;7.73;1.0;0.134505045;1.53;0.6535947712418301
aro;7.73;0.9;0.12105454;1.36;0.6617647058823529
aro;7.73;0.9;0.12105454;1.3;0.6923076923076923
aro;7.73;0.9;0.12105454;1.25;0.72
aro;7.73;0.9;0.12105454;1.5;0.6
aro;7.73;0.9;0.12105454;1.39;0.6474820143884893
aro;7.73;0.9;0.12105454;1.36;0.6617647058823529
aro;7.73;0.9;0.12105454;1.28;0.703125
aro;7.73;0.9;0.12105454;1.44;0.625
aro;7.73;0.9;0.12105454;1.4;0.6428571428571429
aro;7.73;0.9;0.12105454;1.44;0.625
aro;7.73;0.8;0.107604036;1.38;0.5797101449275364
aro;7.73;0.8;0.107604036;1.49;0.5369127516778524
aro;7.73;0.8;0.107604036;1.21;0.6611570247933884
aro;7.73;0.8;0.107604036;1.28;0.625
aro;7.73;0.8;0.107604036;1.8;0.4444444444444445
aro;7.73;0.8;0.107604036;1.4;0.5714285714285715
aro;7.73;0.8;0.107604036;1.25;0.64
aro;7.73;0.8;0.107604036;1.32;0.6060606060606061
aro;7.73;0.8;0.107604036;1.18;0.6779661016949153
aro;7.73;0.8;0.107604036;1.25;0.64
aro;7.73;0.7;0.094153531;1.17;0.5982905982905983
aro;7.73;0.7;0.094153531;1.2;0.5833333333333334
aro;7.73;0.7;0.094153531;1.17;0.5982905982905983
aro;7.73;0.7;0.094153531;1.13;0.6194690265486725
aro;7.73;0.7;0.094153531;1.35;0.5185185185185185
aro;7.73;0.7;0.094153531;1.18;0.5932203389830508
aro;7.73;0.7;0.094153531;1.2;0.5833333333333334
aro;7.73;0.7;0.094153531;1.14;0.6140350877192983
aro;7.73;0.7;0.094153531;1.29;0.5426356589147286
aro;7.73;0.7;0.094153531;1.25;0.5599999999999999
aro;7.73;0.6;0.080703027;0.97;0.6185567010309279
aro;7.73;0.6;0.080703027;1.0;0.6
aro;7.73;0.6;0.080703027;1.12;0.5357142857142857
aro;7.73;0.6;0.080703027;0.99;0.6060606060606061
aro;7.73;0.6;0.080703027;1.05;0.5714285714285714
aro;7.73;0.6;0.080703027;1.11;0.5405405405405405
aro;7.73;0.6;0.080703027;1.01;0.594059405940594
aro;7.73;0.6;0.080703027;1.17;0.5128205128205129
aro;7.73;0.6;0.080703027;1.1;0.5454545454545454
aro;7.73;0.6;0.080703027;1.06;0.5660377358490566
aro;7.73;0.5;0.067252522;0.95;0.5263157894736842
aro;7.73;0.5;0.067252522;1.05;0.47619047619047616
aro;7.73;0.5;0.067252522;1.1;0.45454545454545453
aro;7.73;0.5;0.067252522;1.01;0.49504950495049505
aro;7.73;0.5;0.067252522;0.98;0.5102040816326531
aro;7.73;0.5;0.067252522;1.02;0.49019607843137253
aro;7.73;0.5;0.067252522;0.97;0.5154639175257733
aro;7.73;0.5;0.067252522;1.06;0.4716981132075471
aro;7.73;0.5;0.067252522;1.06;0.4716981132075471
aro;7.73;0.5;0.067252522;0.94;0.5319148936170213
aro;7.73;0.4;0.053802018;0.95;0.4210526315789474
aro;7.73;0.4;0.053802018;0.92;0.43478260869565216
aro;7.73;0.4;0.053802018;0.99;0.4040404040404041
